Epoch,Train_Accuracy,Validation_Accuracy,Validation_Loss
1,0.9139751552795031,0.9067164179104478,0.09328358208955223
2,0.9133540372670808,0.8992537313432836,0.10074626865671643
3,0.9173913043478261,0.8830845771144279,0.1169154228855721
4,0.9136645962732919,0.8930348258706468,0.10696517412935325
5,0.9173913043478261,0.8793532338308457,0.12064676616915426
6,0.9130434782608695,0.8980099502487562,0.10199004975124382
7,0.9108695652173913,0.904228855721393,0.095771144278607
8,0.9136645962732919,0.900497512437811,0.09950248756218905
9,0.9130434782608695,0.9054726368159204,0.09452736318407962
10,0.9062111801242236,0.9228855721393034,0.07711442786069655
11,0.9177018633540373,0.8917910447761194,0.10820895522388063
12,0.9130434782608695,0.904228855721393,0.095771144278607
13,0.9161490683229814,0.8942786069651741,0.10572139303482586
14,0.9149068322981366,0.8967661691542289,0.10323383084577109
15,0.9177018633540373,0.8843283582089553,0.11567164179104472
16,0.9105590062111801,0.9191542288557214,0.0808457711442786
17,0.9145962732919255,0.8955223880597015,0.10447761194029848
18,0.9164596273291925,0.8942786069651741,0.10572139303482586
19,0.9133540372670808,0.8868159203980099,0.11318407960199006
20,0.915527950310559,0.8855721393034826,0.11442786069651745
